motor time,polar angle,azimuth angle,sensor time,E
-2000-0-0 1:-58:-28,-65,0,2020-6-26 16:1:14,8.149480
-2000-0-0 1:-58:-28,-66,0,2020-6-26 16:1:15,5.852640
-2000-0-0 1:-58:-28,-67,0,2020-6-26 16:1:15,5.233460
-2000-0-0 1:-58:-27,-68,0,2020-6-26 16:1:16,3.515700
-2000-0-0 1:-58:-27,-69,0,2020-6-26 16:1:17,2.616830
-2000-0-0 1:-58:-26,-70,0,2020-6-26 16:1:17,2.477000
-2000-0-0 1:-58:-26,-71,0,2020-6-26 16:1:18,1.897720
-2000-0-0 1:-58:-26,-72,0,2020-6-26 16:1:19,1.757890
-2000-0-0 1:-58:-25,-73,0,2020-6-26 16:1:19,1.418310
-2000-0-0 1:-58:-25,-74,0,2020-6-26 16:1:20,1.438280
-2000-0-0 1:-58:-24,-75,0,2020-6-26 16:1:21,1.438280
-2000-0-0 1:-58:-24,-76,0,2020-6-26 16:1:21,1.438280
-2000-0-0 1:-58:-24,-77,0,2020-6-26 16:1:22,1.438280
-2000-0-0 1:-58:-23,-78,0,2020-6-26 16:1:23,1.418310
-2000-0-0 1:-58:-23,-79,0,2020-6-26 16:1:23,1.418310
-2000-0-0 1:-58:-23,-80,0,2020-6-26 16:1:24,1.438280
-2000-0-0 1:-58:-22,-81,0,2020-6-26 16:1:24,1.438280
-2000-0-0 1:-58:-22,-82,0,2020-6-26 16:1:25,1.418310
-2000-0-0 1:-58:-21,-83,0,2020-6-26 16:1:26,1.418310
-2000-0-0 1:-58:-21,-84,0,2020-6-26 16:1:26,1.418310
-2000-0-0 1:-58:-21,-85,0,2020-6-26 16:1:27,1.418310
-2000-0-0 1:-58:-20,-86,0,2020-6-26 16:1:27,1.418310
-2000-0-0 1:-58:-20,-87,0,2020-6-26 16:1:28,1.418310
-2000-0-0 1:-58:-19,-88,0,2020-6-26 16:1:29,1.418310
-2000-0-0 1:-58:-19,-89,0,2020-6-26 16:1:29,1.438280
-2000-0-0 1:-58:-19,-90,0,2020-6-26 16:1:30,1.478230
-2000-0-0 1:-58:-18,-91,0,2020-6-26 16:1:31,1.518180
-2000-0-0 1:-58:-18,-92,0,2020-6-26 16:1:31,1.638040
-2000-0-0 1:-58:-18,-93,0,2020-6-26 16:1:32,1.717940
-2000-0-0 1:-58:-17,-94,0,2020-6-26 16:1:33,1.797840
-2000-0-0 1:-58:-17,-95,0,2020-6-26 16:1:33,1.857770
-2000-0-0 1:-58:-16,-96,0,2020-6-26 16:1:34,2.017570
-2000-0-0 1:-58:-16,-97,0,2020-6-26 16:1:34,2.337180
-2000-0-0 1:-58:-16,-98,0,2020-6-26 16:1:35,2.377130
-2000-0-0 1:-58:-15,-99,0,2020-6-26 16:1:36,2.397100
-2000-0-0 1:-58:-15,-100,0,2020-6-26 16:1:37,2.477000
